phylum	class	order	family	genus	species	subsp	subsub	key	strain
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Goose aviadenovirus A			JF510462	Goose adenovirus 4
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Pigeon adenovirus 2			KX121164	Pigeon adenovirus 2
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Pigeon aviadenovirus A			FN824512	Pigeon adenovirus 1
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Turkey aviadenovirus B			GU936707	Turkey adenovirus 1
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Turkey aviadenovirus C			KF477312	Turkey aviadenovirus 4
"dsDNA viruses, no RNA stage"			Adenoviridae	Aviadenovirus	Turkey aviadenovirus D			KF477313	Turkey aviadenovirus 5
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Bat mastadenovirus			KX871230	Bat mastadenovirus
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Bat mastadenovirus A			GU226970	Bat mastadenovirus A
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Bat mastadenovirus B			JN252129	Bat adenovirus 2
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Bat mastadenovirus WIV10			KT698854	Bat mastadenovirus WIV10
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Bat mastadenovirus WIV11			KT698855	Bat mastadenovirus WIV11
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Bat mastadenovirus WIV12			KT698856	Bat mastadenovirus WIV12
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Bat mastadenovirus WIV13			KT698852	Bat mastadenovirus WIV13
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Bat mastadenovirus WIV9			KT698853	Bat mastadenovirus WIV9
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Bovine mastadenovirus B			AF030154	Bovine adenovirus 3
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Canine mastadenovirus A			Y07760	Canine mastadenovirus A
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Equine mastadenovirus A			JN418926	Equine adenovirus 1
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Equine mastadenovirus B			KT160425	Equine adenovirus 2
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus A	A12		AC_000005	Human mastadenovirus A
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus A	A12		NC_001460	Human adenovirus A
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus A	A12		X73487	Adenovirus type 12
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus A	A18		GU191019	Human adenovirus 18 isolate D.C.
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus A	A31		AM749299	"Human adenovirus type 31 complete genome, serotype 31"
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus A	A31		JF964962	Human adenovirus 61 strain JPN
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus A	A31		KF268119	Human adenovirus A strain human
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B1		NC_011203	Human adenovirus B1
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B16		AY601636	Human adenovirus type 16 strain ch. 79
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B16		JN860678	Human adenovirus 68 strain Arg 827/04
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B16		JN860680	Human adenovirus 16 strain E26
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B16		KF268315	Human adenovirus B strain human/DEU/HEIM_00097/1988/NEW[P16H3F16]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		AC_000019	Human adenovirus type 35
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		AF532578	Human adenovirus type 11 strain Slobitski
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		AY128640	Human adenovirus type 35 strain Holden
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		AY163756	Human adenovirus type 11 strain Ad11p Slobitski
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		AY271307	Human adenovirus type 35 strain 35p
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		AY598970	Human adenovirus B strain 11p
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		AY737797	Human adenovirus type 34 strain Compton
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		EF011630	Human adenovirus B strain ColoAd1
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		KF268121	Human adenovirus B strain human/USA/UFL_Adv11/2005/11[P11H11F11]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		KF268124	Human adenovirus B strain human/USA/UFL_Adv35/2004/35[P35H35F35]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		KF268196	Human adenovirus B strain human/USA/UFL_Adv34/2005/34[P34/H34/F34]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		KF268328	Human adenovirus B strain human/DEU/HEIM_00092/1985/NEW[P35H34F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		KF906413	Human adenovirus 11+34 strain IC763
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		KT970440	Human mastadenovirus B strain HAdV-B/ARG/18017/2000/[P11H11F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		KT970441	Human mastadenovirus B strain HAdV-B/USA/CHOP2146-10810/2013/[P11H11F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		KT970442	Human mastadenovirus B strain HAdV-B/USA/12146/2012/[P11H11F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B2		NC_011202	Human adenovirus B2
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		AY601633	Human adenovirus type 21 strain AV-1645
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		AY737798	Human adenovirus type 50 strain Wan
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF528688	Human adenovirus 21
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF577593	Human adenovirus 21a isolate LRTI-3
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF577595	Human adenovirus 21a isolate LRTI-1
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF577597	Human adenovirus 21a isolate LRTI-5
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF577598	Human adenovirus 21a isolate LRTI-6
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF577599	Human adenovirus 21a isolate LRTI-1
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF802425	Human adenovirus 21a isolate LRTI-5
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF802426	Human adenovirus 21a isolate LRTI-2
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF938575	Human adenovirus 21a isolate LRTI-4
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KF938576	Human adenovirus 21a isolate LRTI-4
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364573	Human adenovirus 21 strain NHRC 32389
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364574	Human adenovirus 21 strain NHRC 32493
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364575	Human adenovirus 21 strain NHRC 63218
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364576	Human adenovirus 21 strain NHRC 44288
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364577	Human adenovirus 21 strain CDC RU8176
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364578	Human adenovirus 21 strain NHRC 5
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364579	Human adenovirus 21 strain CDC V1375E
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364580	Human adenovirus 21 strain NHRC 20007
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364581	Human adenovirus 21 strain NHRC 52331
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364582	Human adenovirus 21 strain NHRC 64589
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364583	Human adenovirus 21 strain NHRC 71139
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364584	Human adenovirus 21 strain NHRC 71227
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364585	Human adenovirus 21 strain NHRC 71252
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364586	Human adenovirus 21 strain NHRC 10030
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364587	Human adenovirus 21 strain PEL0066
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364588	Human adenovirus 21 strain CDC V2148A
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364589	Human adenovirus 21 strain VRDL T97-1745
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364590	Human adenovirus 21 strain NHRC 91447
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364591	Human adenovirus 21 strain VRDL T87-0342
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B21		KJ364592	Human adenovirus 21 strain VRDL T98-1269
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		AY599834	Human adenovirus type 3 strain GB
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		AY599836	Human adenovirus type 3 strain NHRC 1276
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		DQ086466	Human adenovirus type 3
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		DQ099432	Human adenovirus B strain Guangzhou01
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		DQ105654	Human adenovirus B strain Guangzhou02
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		JX423380	Human adenovirus B strain human/USA/ak32_AdV3a/2004/3[P3H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		JX423381	Human adenovirus B strain human/USA/ak33_AdV3a/2003/3[P3H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		JX423382	Human adenovirus B strain human/USA/ak34_AdV3a2/2008/3[P3H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268120	Human adenovirus B strain human/USA/UFL_Adv3a2/2007/3[P3H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268123	Human adenovirus B strain human/USA/UFL_Adv3a51/2007/3[P3H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268128	Human adenovirus B strain human/USA/CL_46/1988/3[P3H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268131	Human adenovirus B strain human/USA/UFL_Adv3a17/2007/3[P3H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268132	Human adenovirus B strain human/USA/CL_45/1988/3[P3H7F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268133	Human adenovirus B strain human/USA/UFL_Adv3a50/2007/3[P3H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268195	Human adenovirus B strain human/USA/UFL_Adv3/2004/3[P3/H3/F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268202	Human adenovirus B strain human/USA/MEEI_00075/X/3[P3H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268210	Human adenovirus B strain human/IND/MEEI_00057/2011/3[P7H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268212	Human adenovirus B strain human/IND/MEEI_00062/2011/3[P7H3F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF268311	Human adenovirus B strain human/CHN/Ad4/2007/NEW[P3H3F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B3		KF429752	Human adenovirus B strain human/USA/Pitts_00112/1988/NEW[P3H3F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		AY803294	Human adenovirus type 14 strain de Wit
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		FJ597732	Human adenovirus 11a strain SGN1222
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		FJ643676	Human adenovirus 55 strain QS-DLL
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		FJ822614	Human adenovirus 14 isolate Ad14-303600
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		JN032132	Human adenovirus 14 strain HAdV14-BJ430/CHN2010
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		JQ824845	Human adenovirus 14 isolate HAdV-B/CHN/GZ01/2010/14[P14H14F14]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		JX123027	Human adenovirus 55 isolate CQ-814
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		JX123028	Human adenovirus 55 isolate CQ-1657
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		JX123029	Human adenovirus 55 isolate CQ-2903
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		JX423384	Human adenovirus B strain human/ARG/ak36_AdV11a/2005/55[P14H11F14]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		JX423385	Human adenovirus B strain human/EGY/ak37_AdV11a/2001/55[P14H11F14]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		JX491639	Human adenovirus 55 isolate HAdV-B/CHN/BJ01/2011/55[P14H11F14]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		JX892927	Human adenovirus 14 isolate CHN 2012
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		KC857701	Human adenovirus 55 strain HAdV B55 XZ2012-492
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		KF908851	Human adenovirus 55 strain TJ-2013-90
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		KJ883520	Human adenovirus 55 isolate Hebei/BD6728/2013
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		KJ883521	Human adenovirus 55 isolate Hebei/BD6729/2013
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		KJ883522	Human adenovirus 55 isolate Shanxi/QZ01/2011
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B55		KP279748	Human mastadenovirus B strain human/CHN/AQ-1/2012/55[P14/H11/F14]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	AC_000018	Human adenovirus type 7
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	AY495969	Human adenovirus type 7 vaccine strain
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	AY601634	Human adenovirus type 7 strain NHRC 1315
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	JF800905	Human adenovirus 7 strain 0901HZ/ShX/CHN/2009
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	JN860676	Human adenovirus 66 strain 87-922
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	JN860677	Human adenovirus 7d2 strain FS2154
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	JX423383	Human adenovirus B strain human/USA/ak35_AdV7d2/2006/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	JX423386	Human adenovirus B strain human/ARG/ak38_AdV7h/2003/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	JX423387	Human adenovirus B strain human/USA/ak39_AdV7d2/1997/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	JX423388	Human adenovirus B strain human/USA/ak40_AdV7b/1997/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	JX625134	Human adenovirus 7 isolate CQ1198
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KC440171	Human adenovirus 7 strain human/CHN/DG01/2011/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KC857700	Human adenovirus 7 strain HAdV B7 XZ2011-93
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KF268117	Human adenovirus B strain human/USA/UFL_Adv7d2-2/unknown/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KF268125	Human adenovirus B strain human/USA/CL_44/1988/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KF268126	Human adenovirus B strain human/USA/UFL_Adv7h/2005/66[P7H7F3]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KF268134	Human adenovirus B strain human/USA/CL_43/1988/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KF268135	Human adenovirus B strain human/USA/UFL_Adv7d2-3/unknown/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KF268314	Human adenovirus B strain human/CHN/DG/2011/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KF268316	Human adenovirus B strain human/CHN/a238/2011/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KF429748	Human adenovirus B strain human/USA/Pitts_00102/1988/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019879	Human adenovirus 7 strain XY6/XY/CHN/2013
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019880	Human adenovirus 7 strain XY1/XY/CHN/2012
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019881	Human adenovirus 7 strain L34/XY/CHN/2012
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019882	Human adenovirus 7 strain K57/JM/CHN/2012
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019883	Human adenovirus 7 strain K22/JM/CHN/2013
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019884	Human adenovirus 7 strain CDC228/JM/CHN/2012
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019885	Human adenovirus 7 strain H12/JM/CHN/2012
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019886	Human adenovirus 7 strain H18/JM/CHN/2013
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019887	Human adenovirus 7 strain JM11/JM/CHN/2013
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KJ019888	Human adenovirus 7 strain L14/XY/CHN/2012
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KP670855	Human adenovirus 7 strain human/CHN/GZ7015/2011/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KP670856	Human adenovirus 7 strain human/CHN/GZ6965/2011/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KP670857	Human adenovirus 7 strain human/CHN/GZ6784/2011/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KP670858	Human adenovirus 7 strain human/CHN/GZ6080/2010/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KP670859	Human adenovirus 7 strain human/CHN/GZ8987/2012/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KP670860	Human adenovirus 7 strain human/CHN/GZ8546/2012/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KP670861	Human adenovirus 7 strain human/CHN/GZ7052/2011/7[P7H7F7]
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KT963081	Human adenovirus 7 strain CDC 2014012.949
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster A	KU361344	Human adenovirus 7 strain 19BOVLB/Volgograd/Rus/2014
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster B	AY594255	Human adenovirus type 7 strain Gomen
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster B	GQ478341	Human adenovirus 7 strain GZ08
"dsDNA viruses, no RNA stage"			Adenoviridae	Mastadenovirus	Human adenovirus B	B7	cluster B	HQ659699	Human adenovirus 7 strain gz07
